Gene name,Mutated samples,Samples tested
MYO18B,79,809
PTPRD,79,1056
MYO18B_ENST00000335473,79,809
CAMTA1,78,834
PRKG1_ENST00000401604,78,809
PRKG1,78,809
ROBO2_ENST00000332191,78,1162
ADGRV1_ENST00000645211,78,809
ADGRV1,78,809
PRKG1_ENST00000646535,78,809
FBN2,78,834
PCDHA7,78,809
PRKG1_ENST00000373985,78,809
DCC,78,834
COL22A1_ENST00000435777,77,809
MACF1_ENST00000567887,77,809
ZFHX4,77,832
VPS13B,77,809
MACF1,77,809
IGF1R_ENST00000558762,77,1056
POU6F2,77,809
DCC_ENST00000412726,77,834
IGF1R,77,1056
TENM4,77,809
VPS13B_ENST00000357162,77,809
MACF1_ENST00000372915,77,809
GLI3,76,809
OTOGL_ENST00000458043,76,807
KMT2D,76,1596
PTPRD_ENST00000397617,76,1056
ANK2_ENST00000506722,76,809
PTPRD_ENST00000540109,76,1056
PTPRD_ENST00000356435,76,1056
PKHD1,76,815
GRIA4,76,809
IDH2,76,3386
PTPRD_ENST00000397606,76,1056
GRIA4_ENST00000530497,76,809
PTPRD_ENST00000397611,76,1056
GRIA4_ENST00000393127,76,809
ARID2_ENST00000422737,76,1688
SORCS3_ENST00000369699,76,809
WDFY3,76,809
PTPRD_ENST00000486161,76,1056
SORCS3,76,809
TRIM2_ENST00000437508,76,809
PTPRD_ENST00000537002,76,1056
DST_ENST00000244364,76,809
PTPRD_ENST00000355233,76,1056
ROBO1,76,807
PCDHGB4,76,807
DNAH11,75,809
LAMA1,75,809
FBN2_ENST00000619499,75,834
DNAH11_ENST00000620169,75,809
XIRP2_ENST00000409728,75,811
ADGRL2,75,809
XIRP2_ENST00000409043,75,811
AC058822.1,75,817
POU6F2_ENST00000518318,75,809
ADGRL2_ENST00000370721,75,809
ADGRL2_ENST00000370725,75,809
ADGRL2_ENST00000370723,75,809
FBXW7_ENST00000603841,75,1759
DNAH11_ENST00000328843,75,809
XIRP2,75,811
ADGRL2_ENST00000370727,75,809
FBN2_ENST00000262464,75,834
ADGRL2_ENST00000370728,75,809
MYT1L_ENST00000644820,74,809
PIK3C2G,74,1070
PTPRT_ENST00000618610,74,1081
ROBO1_ENST00000618846,74,807
PTPRT_ENST00000612229,74,1081
ROBO1_ENST00000467549,74,807
GRIA4_ENST00000525187,74,809
ROBO1_ENST00000495273,74,807
NAV2_ENST00000360655,74,809
ROBO1_ENST00000436010,74,807
MYT1L,74,809
FAM172A,74,809
